class,index
Skirts,0
Tshirts,1
Shorts,2
Track Pants,3
Caps,4
Dresses,5
Jackets,6
Sweatshirts,7
Sports Shoes,8
Shirts,9
Tracksuits,10
Sandals,11
Flip Flops,12
Watches,13
Sports Sandals,14
Casual Shoes,15
Formal Shoes,16
Handbags,17
Trousers,18
Flats,19
Heels,20
Tops,21
Belts,22
Jeans,23
Tunics,24
Sweaters,25
Free Gifts,26
Capris,27
Bra,28
Backpacks,29
Leggings,30
Laptop Bag,31
Scarves,32
Ties,33
Churidar,34
Kurtas,35
Kurtis,36
Dupatta,37
Sarees,38
Socks,39
Wallets,40
Hat,41
Shoe Accessories,42
Waistcoat,43
Stoles,44
Messenger Bag,45
Kurta Sets,46
Waist Pouch,47
Rucksacks,48
Mufflers,49
Innerwear Vests,50
Lounge Shorts,51
Lounge Pants,52
Footballs,53
Cufflinks,54
Stockings,55
Sunglasses,56
Necklace and Chains,57
Bracelet,58
Umbrellas,59
Travel Accessory,60
Duffel Bag,61
Water Bottle,62
Briefs,63
Swimwear,64
Basketballs,65
Clutches,66
Accessory Gift Set,67
Headband,68
Trunk,69
Tights,70
Fragrance Gift Set,71
Perfume and Body Mist,72
Deodorant,73
Gloves,74
Boxers,75
Mobile Pouch,76
Shrug,77
Suspenders,78
Camisoles,79
Jeggings,80
Night suits,81
Blazers,82
Lehenga Choli,83
Salwar,84
Nehru Jackets,85
Patiala,86
Earrings,87
Pendant,88
Bangle,89
Clothing Set,90
Jumpsuit,91
Booties,92
Rompers,93
Ties and Cufflinks,94
Tablet Sleeve,95
Nightdress,96
Trolley Bag,97
Key chain,98
Jewellery Set,99
Wristbands,100
Robe,101
Shapewear,102
Ring,103
Nail Polish,104
Eyeshadow,105
Lipstick,106
Compact,107
Kajal and Eyeliner,108
Lip Liner,109
Foundation and Primer,110
Lip Plumper,111
Concealer,112
Lip Gloss,113
Highlighter and Blush,114
Salwar and Dupatta,115
Baby Dolls,116
Rain Jacket,117
Rain Trousers,118
Lounge Tshirts,119
Bath Robe,120
Mascara,121
Face Wash and Cleanser,122
Face Moisturisers,123
Eye Cream,124
Beauty Accessory,125
Nail Essentials,126
Makeup Remover,127
Lip Care,128
Sunscreen,129
Hair Colour,130
Toner,131
Body Lotion,132
Face Scrub and Exfoliator,133
Mask and Peel,134
Face Serum and Gel,135
